,id,polarisability,homo_lumo_gap,ligands,lig1,lig2,lig3,lig4
429151,429152,459.800856,2.849033835816,"BIFZEX-subgraph-0,GUVMEP-subgraph-0,NURKEQ-subgraph-2,CUJYEL-subgraph-2",BIFZEX-subgraph-0,GUVMEP-subgraph-0,NURKEQ-subgraph-2,CUJYEL-subgraph-2
429148,429149,459.773999,2.895210440411,"CUJYEL-subgraph-2,NURKEQ-subgraph-2,GUVMEP-subgraph-0,BIFZEX-subgraph-0",CUJYEL-subgraph-2,NURKEQ-subgraph-2,GUVMEP-subgraph-0,BIFZEX-subgraph-0
429147,429148,459.758506,2.815455670748,"NURKEQ-subgraph-2,CUJYEL-subgraph-2,GUVMEP-subgraph-0,BIFZEX-subgraph-0",NURKEQ-subgraph-2,CUJYEL-subgraph-2,GUVMEP-subgraph-0,BIFZEX-subgraph-0
429150,429151,459.755919,2.82655391764,"BIFZEX-subgraph-0,GUVMEP-subgraph-0,CUJYEL-subgraph-2,NURKEQ-subgraph-2",BIFZEX-subgraph-0,GUVMEP-subgraph-0,CUJYEL-subgraph-2,NURKEQ-subgraph-2
429149,429150,459.704227,2.528941934903,"BIFZEX-subgraph-0,CUJYEL-subgraph-2,GUVMEP-subgraph-0,NURKEQ-subgraph-2",BIFZEX-subgraph-0,CUJYEL-subgraph-2,GUVMEP-subgraph-0,NURKEQ-subgraph-2
13566,13566,459.67135,2.96482545706,"BIFMOV-subgraph-1,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2",BIFMOV-subgraph-1,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2
429152,429153,459.666588,2.616894671305,"NURKEQ-subgraph-2,GUVMEP-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0",NURKEQ-subgraph-2,GUVMEP-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0
62456,62456,459.00513,2.334280867551,"CUJYEL-subgraph-2,BICRIQ-subgraph-3,BIFZEX-subgraph-0,BIFZEX-subgraph-0",CUJYEL-subgraph-2,BICRIQ-subgraph-3,BIFZEX-subgraph-0,BIFZEX-subgraph-0
62457,62457,458.956432,2.551395222994,"BICRIQ-subgraph-3,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",BICRIQ-subgraph-3,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
122477,122478,458.91697,2.099128060161,"BIFZEX-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BICRIQ-subgraph-3",BIFZEX-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BICRIQ-subgraph-3
63695,63696,458.323825,1.348086966155,"GUVMEP-subgraph-0,RAJXUX-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",GUVMEP-subgraph-0,RAJXUX-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
428101,428102,458.278376,2.604334426927,"BIFZEX-subgraph-0,KULGAZ-subgraph-2,NURKEQ-subgraph-2,CUJYEL-subgraph-2",BIFZEX-subgraph-0,KULGAZ-subgraph-2,NURKEQ-subgraph-2,CUJYEL-subgraph-2
63696,63697,458.25504,1.141286989905,"RAJXUX-subgraph-2,GUVMEP-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0",RAJXUX-subgraph-2,GUVMEP-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0
1597,1597,458.175962,1.992600907758,"CUJYEL-subgraph-2,CUJYEL-subgraph-2,RAJXUX-subgraph-2,RAJXUX-subgraph-2",CUJYEL-subgraph-2,CUJYEL-subgraph-2,RAJXUX-subgraph-2,RAJXUX-subgraph-2
